2025-06-19 20:13:23;warningsystem:HOT
2025-06-19 20:13:35;temperature:25.30
2025-06-19 20:13:37;humidity:43.00
2025-06-19 20:13:39;warningsystem:HOT
2025-06-19 20:13:50;temperature:25.00
2025-06-19 20:13:52;humidity:43.00
2025-06-19 20:13:54;warningsystem:HOT
2025-06-19 20:14:06;temperature:24.80
2025-06-19 20:14:08;humidity:43.00
2025-06-19 20:14:09;warningsystem:MODERATE
2025-06-19 20:14:21;temperature:24.80
2025-06-19 20:14:22;humidity:43.00
2025-06-19 20:14:24;warningsystem:MODERATE
2025-06-19 20:14:36;temperature:24.80
2025-06-19 20:14:37;humidity:43.00
2025-06-19 20:14:39;warningsystem:MODERATE
2025-06-19 20:14:51;temperature:24.80
2025-06-19 20:14:53;humidity:43.00
2025-06-19 20:14:55;warningsystem:MODERATE
2025-06-19 20:15:07;temperature:24.80
2025-06-19 20:15:08;humidity:43.00
2025-06-19 20:15:10;warningsystem:MODERATE
2025-06-19 20:15:22;temperature:24.80
2025-06-19 20:15:23;humidity:43.00
2025-06-19 20:15:25;warningsystem:MODERATE
2025-06-19 20:15:36;temperature:24.80
2025-06-19 20:15:38;humidity:43.00
2025-06-19 20:15:40;warningsystem:MODERATE
2025-06-19 20:15:52;temperature:24.80
2025-06-19 20:15:54;humidity:43.00
2025-06-19 20:15:55;warningsystem:MODERATE
2025-06-19 20:16:07;temperature:24.80
2025-06-19 20:16:09;humidity:43.00
2025-06-19 20:16:10;warningsystem:MODERATE
2025-06-19 20:16:22;temperature:24.90
2025-06-19 20:16:24;humidity:43.00
2025-06-19 20:16:26;warningsystem:MODERATE
2025-06-19 20:16:38;temperature:24.80
2025-06-19 20:16:39;humidity:43.00
2025-06-19 20:16:41;warningsystem:MODERATE
2025-06-19 20:16:53;temperature:24.80
2025-06-19 20:16:54;humidity:43.00
2025-06-19 20:16:56;warningsystem:MODERATE
2025-06-19 20:17:07;temperature:24.80
2025-06-19 20:17:09;humidity:43.00
2025-06-19 20:17:11;warningsystem:MODERATE
2025-06-19 20:17:22;temperature:24.80
2025-06-19 20:17:24;humidity:43.00
2025-06-19 20:17:26;warningsystem:MODERATE
2025-06-19 20:17:38;temperature:24.80
2025-06-19 20:17:39;humidity:42.00
2025-06-19 20:17:41;warningsystem:MODERATE
2025-06-19 20:17:53;temperature:24.80
2025-06-19 20:17:54;humidity:42.00
